ranking,nome_jogo,plataforma,ano,genero,editora,NA_vendas,EU_vendas,JP_vendas,outras_vendas,global_vendas,preco,receita_NA,receita_EU,receita_JP,receita_outras,receita_global,anos_desde_lancamento
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,64.49,580.41,398.55,464.33,45.79,1489.72,25
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,43.76,391.21,351.39,157.54,94.08,994.23,17
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,22.0,199.98,188.98,55.66,39.38,484.0,15
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,61.43,919.61,303.46,14.74,102.59,1340.4,14
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,15.61,109.43,144.7,15.14,64.63,334.05,11
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,25.27,238.3,10.11,10.36,267.1,525.87,20
19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,52.56,671.72,197.1,186.06,28.91,1083.26,34
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,13.98,66.4,129.45,58.16,28.66,282.68,19
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,69.13,443.81,312.47,417.55,94.71,1269.23,18
22,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,65.06,704.6,176.31,271.95,27.33,1180.19,35
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,32.39,309.0,111.42,124.38,14.9,559.7,36
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,27.42,264.05,145.6,1.65,37.84,449.14,11
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,13.06,109.83,71.7,6.14,23.25,210.92,22
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,15.41,93.38,60.1,82.91,7.7,244.25,22
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,68.64,382.32,225.14,387.82,56.28,1051.56,14
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,13.67,47.02,73.27,72.72,16.13,209.15,19
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,13.06,89.46,66.48,24.42,15.15,195.64,23
30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,47.96,433.08,205.27,6.23,63.31,707.89,13
31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,20.54,120.98,103.52,64.08,12.12,300.71,26
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,34.88,337.29,130.1,3.84,39.41,510.64,14
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,64.27,332.28,260.29,278.93,50.77,922.27,11
34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,64.8,373.9,376.49,22.68,149.69,922.75,9
35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,35.03,174.8,205.98,22.77,88.28,491.47,12
36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,33.17,273.65,142.63,2.32,37.15,455.42,12
37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,18.81,160.26,68.28,1.5,24.26,254.12,15
38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,24.25,134.34,141.14,11.88,39.29,326.41,13
39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,21.3,148.89,96.06,6.39,27.69,279.03,23
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,47.8,322.65,124.76,127.15,48.76,623.31,16
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,40.22,240.52,178.58,19.31,73.6,512.0,14
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,59.53,151.8,209.55,317.29,52.39,730.43,19
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,64.0,303.36,250.24,170.88,56.96,781.44,13
44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,12.81,102.1,36.25,1.67,15.5,155.51,17
45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,31.37,119.21,182.26,11.29,63.37,375.81,10
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,32.0,140.8,88.64,126.72,24.64,380.8,15
47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,41.99,290.15,119.67,80.2,9.66,499.26,28
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,21.67,65.23,0.22,23.84,163.18,252.67,20
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,34.87,214.8,118.56,41.84,26.5,401.7,17
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,11.14,47.12,37.54,34.31,7.24,126.22,10
51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,47.84,294.69,97.59,128.69,13.87,534.85,32
52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,35.82,242.14,111.04,5.01,36.89,394.74,16
53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,15.54,62.47,60.14,39.47,8.08,170.16,27
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,13.7,66.99,40.96,29.18,10.69,147.82,13
55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,52.45,155.25,255.96,42.48,111.19,564.89,14
56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,65.25,325.6,240.77,24.8,106.36,697.52,15
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,15.74,74.92,59.18,6.93,25.5,166.37,16
58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,49.58,296.98,106.6,105.11,14.38,523.07,31
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,26.99,117.14,71.52,85.02,9.45,283.13,20
60,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,58.37,296.52,181.53,72.96,57.2,608.22,20
61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,32.69,197.77,102.97,0.0,34.98,335.4,13
62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,43.69,293.6,114.9,1.75,35.83,446.07,11
63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,59.65,419.34,118.11,4.77,46.53,589.34,14
64,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,38.37,212.95,74.44,85.57,5.76,378.71,28
65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,67.51,247.09,207.26,166.75,42.53,662.95,12
66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,60.39,400.39,142.52,2.42,44.08,589.41,12
67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,43.45,130.78,107.32,142.52,41.71,422.33,27
68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,26.77,109.49,99.85,10.17,36.94,256.72,11
69,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,12.83,74.93,37.08,0.13,10.01,122.14,14
70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,57.01,221.2,194.97,96.35,28.5,541.02,25
71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,52.21,308.56,124.26,6.79,46.99,486.6,17
72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,66.94,291.86,114.47,200.82,15.4,622.54,30
73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,49.13,274.15,139.04,0.98,37.83,452.0,11
74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,56.01,112.58,129.94,244.2,22.96,509.13,12
75,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,62.96,280.8,118.36,124.66,44.07,567.9,17
76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,50.96,256.33,145.75,5.1,43.32,450.49,13
77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,10.06,35.61,12.47,38.33,1.81,88.13,32
78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,60.49,67.14,366.57,3.63,76.22,513.56,9
79,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,16.77,30.02,59.2,41.76,11.4,142.38,14
80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,25.57,174.39,39.12,1.28,2.05,217.09,20
81,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,23.87,90.94,54.9,37.71,17.43,200.99,17
82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,66.06,192.23,122.87,207.43,28.41,550.28,12
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,34.8,36.89,175.74,4.52,69.95,286.75,12
84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,28.07,27.51,180.21,0.0,19.93,227.65,15
85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,65.66,380.83,131.98,8.54,9.85,531.19,27
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,43.69,112.72,170.39,28.84,39.76,352.14,17
87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,68.85,200.35,142.52,187.96,22.72,554.24,23
88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,44.83,102.21,77.11,162.73,10.31,352.36,25
89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,60.8,171.46,108.22,163.55,33.44,476.67,16
90,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,21.29,154.99,9.58,0.0,1.7,166.27,42
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,61.15,177.33,173.05,14.68,107.01,472.08,19
92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,51.21,187.43,123.93,50.19,32.77,393.8,14
93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,43.12,126.34,141.86,9.49,53.04,330.73,9
94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,16.11,45.11,53.16,2.26,22.07,122.44,10
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,25.12,102.99,47.48,36.42,4.02,190.91,26
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,56.88,215.01,123.43,74.51,17.63,431.15,27
97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,66.17,356.66,78.08,46.32,12.57,493.63,36
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,19.74,63.96,26.65,47.77,8.49,147.06,10
99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,65.2,312.31,123.88,0.0,44.99,480.52,16
100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,13.85,61.77,29.5,0.83,9.56,101.66,13
101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,28.37,108.66,62.13,17.02,19.86,207.38,18
102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,24.62,111.28,51.46,0.25,16.5,179.73,9
103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,40.8,143.21,123.62,0.0,29.78,296.62,15
104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,28.39,80.91,83.18,9.94,31.23,205.26,13
105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,21.52,70.37,60.9,1.72,21.95,154.94,21
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,50.34,164.61,111.75,70.48,14.6,360.43,26
107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,34.42,126.67,60.24,48.88,9.64,245.41,26
108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,10.46,46.13,10.88,14.54,2.3,73.95,23
109,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,23.68,74.12,49.02,30.07,11.6,164.81,10
110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,64.34,158.92,202.67,15.44,70.77,447.81,9
111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,31.13,128.26,55.1,27.08,5.91,216.35,21
112,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,55.43,229.48,122.5,0.0,31.04,383.02,12
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,28.54,22.26,123.29,2.0,49.37,196.93,11
114,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,31.21,84.58,94.25,2.5,34.02,215.35,20
115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,28.23,82.71,77.63,4.8,27.95,192.81,22
116,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,39.06,108.2,109.37,7.42,41.4,266.78,13
117,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,23.37,75.49,54.92,21.97,7.01,159.38,28
118,Zumba Fitness,Wii,2010.0,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,46.58,163.03,122.97,0.0,31.21,317.21,14
119,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,35.32,146.58,67.81,2.12,22.6,238.76,16
120,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,16.72,54.67,37.62,3.51,16.72,112.53,15
121,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,11.7,36.27,26.91,3.28,12.17,78.62,17
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,55.3,46.45,238.9,6.08,78.53,369.96,13
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,47.31,79.01,131.52,75.7,29.33,315.56,19
124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,22.07,61.58,57.6,3.75,22.73,145.66,14
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,36.59,28.91,156.97,1.83,53.79,241.13,10
126,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,15.15,49.24,27.88,15.6,7.12,99.84,14
127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,34.23,87.29,92.76,8.56,35.94,224.55,13
128,The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,11.31,42.3,10.52,19.11,1.58,73.63,38
129,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,14.16,37.38,36.25,2.27,16.14,92.04,12
130,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,49.37,245.86,64.18,3.95,3.46,317.45,23
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,56.1,144.18,88.64,115.57,11.78,359.6,20
132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,34.71,126.34,41.65,51.72,2.43,222.14,22
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,51.79,132.06,80.79,66.81,51.27,330.94,24
134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,67.59,293.34,91.25,4.06,41.23,429.87,15
135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,69.16,255.89,136.25,6.22,39.42,438.47,14
136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,22.35,89.62,28.16,19.44,3.8,141.03,22
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,32.55,80.4,27.02,93.42,3.91,205.06,32
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,19.06,1.33,118.36,0.0,0.0,119.7,20
139,Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,11.87,36.92,33.24,0.24,3.92,74.42,25
140,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,47.13,184.75,83.89,1.41,24.04,294.09,14
141,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,62.32,252.4,100.96,4.36,30.54,388.88,13
142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,13.08,46.3,24.85,0.92,7.85,79.92,18
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,64.48,157.98,129.6,56.1,46.43,390.1,23
144,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03,47.07,210.4,56.48,7.53,8.94,283.83,32
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,12.06,31.72,20.98,10.01,10.01,72.72,16
146,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,16.71,53.14,30.58,13.03,4.01,100.76,26
147,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,21.35,51.45,48.68,5.98,21.56,127.89,11
148,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,32.69,61.46,0.0,76.17,56.88,194.51,18
149,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,37.58,105.22,77.04,6.39,33.82,222.47,16
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,47.56,31.39,32.82,206.89,7.13,277.75,15
151,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,55.45,202.95,90.38,0.0,29.39,323.27,17
152,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,26.86,50.5,39.48,54.26,12.09,156.33,26
153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,36.15,81.7,68.32,49.16,8.31,207.5,28
154,Cooking Mama,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,54.03,169.11,104.82,3.78,31.34,309.05,18
155,Destiny,PS4,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,64.22,159.91,131.65,10.28,61.65,362.84,10
156,Tetris,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,19.25,57.17,13.28,34.84,2.12,107.42,36
157,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,43.69,110.97,85.2,9.17,38.01,243.35,15
158,Super Smash Bros.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,55.18,162.78,33.11,108.7,2.21,306.25,25
159,Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,34.72,113.88,57.29,2.43,19.1,192.7,17
160,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,49.22,132.89,94.01,5.41,39.38,272.19,13
161,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,60.6,181.19,116.35,6.06,30.91,333.91,15
162,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,41.83,19.66,23.84,172.76,14.22,230.06,16
163,Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,58.77,184.54,72.87,53.48,11.75,322.65,23
164,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,13.88,36.37,22.76,13.74,3.19,75.92,23
165,Super Mario World,GBA,2001.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,53.81,172.73,59.73,51.12,10.76,293.8,23
166,Pokemon Stadium,N64,1999.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,26.92,85.61,33.38,25.3,2.42,146.71,25
167,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,65.12,177.13,121.77,0.0,54.7,353.6,16
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,42.06,87.06,96.32,10.09,34.49,227.97,23
169,Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,46.32,91.25,116.26,0.0,43.54,251.05,10
170,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,66.67,116.01,82.67,124.67,34.67,357.35,15
171,Dr. Mario,GB,1989.0,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,49.63,108.19,47.64,99.26,9.93,265.02,35
